File Size;MD5;CRC32;Type;Id;Publisher;Year;Month;Day;Revision;Norm;Parts;Comment;Todos
8192;0xA4DC52536D526ECC51EA857B9FA2B90F;0x4BEC4DE2;Atari BASIC;SYSROM_BASIC_A;Atari;1979;Unknown;Unknown;REV. A;n/a;C012402,C014502;Production ROM, Atari BASIC sold on cartridge;
8192;0x04EA6A4E386601445CA5BFC8E37FB620;0xF0202FB3;Atari BASIC;SYSROM_BASIC_B;Atari;1983;Unknown;Unknown;REV. B;n/a;C060302A ;Production ROM, Atari BASIC from Atari 600XL/early Atari 800XL, also sold on cartridge;
8192;0x0BAC0C6A50104045D902DF4503A4C30B;0x7D684184;Atari BASIC;SYSROM_BASIC_C;Atari;1984;Unknown;Unknown;REV. C;n/a;C024947A;Production ROM, Atari BASIC from 800XL and all Atari XE/XEGS, also sold on cartridge;
2048;0x281F20EA4320404EC820FB7EC0693B38;0x4248D3E3;Atari BIOS;SYSROM_5200;Atari;1982;Unknown;Unknown;Orginal;PAL/NTSC;C019156;Production ROM, BIOS from 4-port and early 2-port 5200;
2048;0xEE7B85F5CA384DCB1F284946F3C12AC4;0xC2BA2613;Atari BIOS;SYSROM_5200A;Atari;1983;Unknown;Unknown;REV. A;PAL;C019156A;Production ROM, BIOS from late 2-port 5200;
10240;0xA3C1585B5D19719F8ACFA2B093BEA75F;0xC1B3BB02;Atari OS;SYSROM_A_NTSC;Atari;1979;Unknown;Unknown;OS-A;NTSC;C012499A (OS low part, NTSC), C014599A (OS high part, NTSC), C012399B (FPP);Production ROM, OS from early NTSC Atari 400/800;
10240;0xEB1F32F5D9F382DB1BBFB8D7F9CB343A;0x72B3FED4;Atari OS;SYSROM_A_PAL;Atari;1979;Unknown;Unknown;OS-A;PAL;C015199  (OS low part, PAL), C015299 (OS high part, PAL), C012399B (FPP);Production ROM, OS from PAL Atari 400/800;
10240;0x4177F386A3BAC989A981D3FE3388CB6C;0x0E86D61D;Atari OS;SYSROM_B_NTSC;Atari;1981;Unknown;Unknown;OS-B;NTSC;C012499B (OS low part, NTSC), C014599B (OS high part, NTSC), C012399B (FPP);Production ROM, OS from late NTSC Atari 400/800, LINBUG version with incorrect checksums;
10240;0xF5B246FA5237B44C41C6C831CCF18A2D;0xF28BC97D;Atari OS;SYSROM_B_NTSC_FIX;Atari;1981;Unknown;Unknown;OS-B;NTSC;n/a;Corrected LINBUG version with correct checksums;
10240;0x89D5E5F4713267667AB713449944F8A9;0x0C913DFC;Atari OS;SYSROM_B_PAL;Atari;1981;Unknown;Unknown;OS-B;PAL;Unknown;Potential Production ROM, PAL version of NTSC OS B with correct checksums, compiled from sources by Tomasz Krasuski on 2014-05-31, see 'http://atariage.com/forums/topic/217772-atari-400800-os-b-pal-the-real-mccoy/?p=3001651';
16384;0xE3E8C74BFE1DCD6B56AF50BD9A82DC15;0xC5C11546;Atari OS;SYSROM_AA00R10;Atari;1982;10;26;REV. 10;PAL/NTSC;C060616A (OS low part), C060617A (OS high part);Production ROM, OS from Atari 1200XL;
16384;0xEACB8069C45E2EC4E0A19978BF2FC334;0x1A1D7B1B;Atari OS;SYSROM_AA01R11;Atari;1982;12;23;REV. 11;PAL/NTSC;C060616B (OS low part), C060617B (OS high part);Production ROM, OS from Atari 1200XL;
16384;0x9AEA45E724D2588FBBEDA658C7DC53EE;0x643BCC98;Atari OS;SYSROM_BB00R1;Atari;1983;3;11;REV. 1;PAL/NTSC;C062024;Production ROM, OS from Atari 600XL;
16384;0x06DAAC977823773A3EEA3422FD26A703;0x1F9CD270;Atari OS;SYSROM_BB01R2;Atari;1983;5;10;REV. 2;PAL/NTSC;C061598B;Production ROM, OS  from Atari 800XL and early Atari 65XE/130XE;
16384;0x537CFA3038271E277D84D8F2C8A92006;0x0D477AA1;Atari OS;SYSROM_BB02R3;Atari;1984;3;23;REV. 3 (1984-03-23);PAL/NTSC;Unknown;Prototype ROM, OS from Atari 1450XLD prototype, known as 1540OS3.V0 and 1450R3V0.ROM;
16384;0x2DBC73DA0D34994D1E2E62E22EB49224;0x4149FD2C;Atari OS;SYSROM_BB02R3;Atari;1984;3;27;REV. 3 (1984-03-27);PAL/NTSC;Unknown;Prototype ROM, OS from Atari 1450XLD prototype, known as OSR3V2-416.BIN;
16384;0x9F5449C881475A5CCA40849C743205F8;0xD425A9CF;Atari OS;SYSROM_BB02R3V4;Atari;1984;6;21;REV. 3 VER. 4;PAL/NTSC;Unknown;Prototype ROM, OS from Atari 1450XLD prototype, known as OS1450.128 and 1450R3VX.ROM;
16384;0x65020266380E33CCE50EBF8B9D91122A;0x0E000B99;Atari OS;SYSROM_CC01R4;Atari;1984;9;6;REV. 5 VER. 0;PAL/NTSC;Unknown;Potential Production ROM, compiled from sources by Tomasz Krasuski on 2014-05-31, see 'http://www.atariage.com/forums/topic/78579-a800ossrc/page__view__findpost__p__961535';
16384;0x54E704558A6AEDFC45CEBF8F8AC9C312;0x29F133F7;Atari OS;SYSROM_BB01R3;Atari;1985;3;1;REV. 3;PAL/NTSC;C300717;Production ROM, OS from late Atari 65XE/130XE;
16384;0xB7A2A04677D34F069EEB643D5238BF86;0x1EAF4002;Atari OS;SYSROM_BB01R4_OS;Atari;1987;5;7;REV. 4;PAL/NTSC;C101687 (2nd half);Production ROM, OS from Atari XEGS;
16384;0xD467F55FB7643553B69B34BF7E805B7D;0x45F47988;Atari OS;SYSROM_BB01R59;Atari;1987;7;21;REV. 59;PAL/NTSC;C101700;Production ROM, OS from Arabic Atari XEGS;
16384;0x69396860E53F58D798421D06D766C3BA;0xF0A236D3;Atari OS;SYSROM_BB01R59A;Atari;1987;7;21;REV. 59A;PAL/NTSC;C101700-002C;Production ROM, OS from Arabic Atari 65XE, from Kevin Savetz' Arabic 65XE, see 'http://www.savetz.com/vintagecomputers/arabic65xe';
10240;0xA3E8D617C95D08031FE1B20D541434B2;0x3E28A1FE;Atari OS;SYSROM_B_NTSC_PCXF;Atari;1996;Unknown;Unknown;OS-B (PCXformer);NTSC;n/a;PCXFormer hack ROM, based on LINBUG version;
10240;0x7E5E4CE9508EDEF684EBE2C5A0E6F0D3;0x0FFCE3CB;Atari OS;SYSROM_B_NTSC_PCXF_FIX;Atari;n/a;n/a;n/a;OS-B (PCXformer);NTSC;n/a;Corrected PCXFormer hack ROM with correct checksums;
8192;0xD7EB37AEC6960CBA36BC500E0E5D00BC;0xBDCA01FB;Game;SYSROM_XEGAME;Atari;1987;Unknown;Unknown;;PAL/NTSC;C101687 (1st quarter);Production ROM, Missle Command, built-in version from Atari XEGS;
32768;0x42CBD989802C17D0AC3731D33270D835;0xD50260D1;Atari OS;n/a;Atari;1987;5;7;REV. 4;PAL/NTSC;C101687;Production ROM, OS from Atari XEGS with Atari BASIC REV. C and Missle Command in single 32k ROM;
4096;0xA46EDA0A250293807C1D2659DFD708BA;0x29F64E17;Atari OS;n/a;Atari;1979;Unknown;Unknown;OS-A;NTSC;C012499A;Production ROM, OS (low part) from early NTSC Atari 400/800;
4096;0xB9FB42E37114BF183E33C8CC878100AF;0xBC533F0C;Atari OS;n/a;Atari;1979;Unknown;Unknown;OS-A;NTSC;C014599A;Production ROM, OS (high part) from early NTSC Atari 400/800;
2048;0xC8D7C68889E673BCDAA142C254F3B1DC;0x6A5D766E;Atari OS;n/a;Atari;1979;Unknown;Unknown;FPP;n/a;C012399B;Production ROM, Floating-Point Package for all 8-bit Ataris;
4096;0x2FA859481CA3326390926EA530AB2A4E;0x8E547F56;Atari OS;n/a;Atari;1979;Unknown;Unknown;OS-A;PAL;C015199;Production ROM, OS (low part) from PAL Atari 400/800;
4096;0xBEE2298491120EB41DA8DCA4C0060447;0xBE55B413;Atari OS;n/a;Atari;1979;Unknown;Unknown;OS-A;PAL;C015299;Production ROM, OS (high part) from PAL Atari 400/800;
4096;0x2DDB91A764CF7A5C6756A95BFAAC1A7D;0xD818F3E8;Atari OS;n/a;Atari;1981;Unknown;Unknown;OS-B;NTSC;C012499B;Production ROM, OS (low part) from late NTSC Atari 400/800, LINBUG version with incorrect checksums;
4096;0x681CC6611C3C9B69003E6F251E4B4026;0xC1690A9B;Atari OS;n/a;Atari;1981;Unknown;Unknown;OS-B;NTSC;C014599B;Production ROM, OS (high part) from late NTSC Atari 400/800, LINBUG version with incorrect checksums;
8192;0xE19EB62EF554DF174766C71C029021DD;0x0391386B;Atari OS;n/a;Atari;1982;10;26;REV. 10;PAL/NTSC;C060616A;Production ROM, OS (low part) from Atari 1200XL;
8192;0x8B47C75E3E07B2F499C713FD57A2EEDE;0xB502F1E7;Atari OS;n/a;Atari;1982;10;26;REV. 10;PAL/NTSC;C060617A;Production ROM, OS (high part) from Atari 1200XL;
8192;0x51B358E731A400F1E86302903C5EC1F1;0x6E29EC8D;Atari OS;n/a;Atari;1982;12;23;REV. 11;PAL/NTSC;C060616B;Production ROM, OS (low part) from Atari 1200XL;
8192;0x6AD9C6377B38708324F51BCF9885B0C4;0xD73CE29A;Atari OS;n/a;Atari;1982;12;23;REV. 11;PAL/NTSC;C060617B;Production ROM, OS (high part) from Atari 1200XL;
