Type;Deutsch;Englisch;Comment
Name;Assmann;Assmann;
Name;Atari;Atari;"Nicht ""ATARI"""
Name;Bernhard;Bernhard;
Name;Carsten;Carsten;
Name;Dingler;Dingler;
Name;Engl;Engl;
Name;Erhard;Erhard;
Name;Fischer;Fischer;
Name;Florian;Florian;
Name;Matthias;Matthias;
Name;Pahl;Pahl;
Name;Pütz;Pütz;
Name;Reichl;Reichl;
Name;Salzburg;Salzburg;
Name;Schall;Schall;
Name;Schr”der;Schr”der;
Name;Strotmann;Strotmann;
Name;Torsten;Torsten;
Name;Wolfram;Wolfram;
Name;Xilinx;Xilinx;
Term;\fkey{SYSTEM RESET}-Taste;\fkey{SYSTEM RESET} key;
Term;Adapterplatine;adapter board;
Term;ausschließen;to rule sth. Out;
Term;Bankswitchingregister;bank switching register;
Term;Befehl;instruction;Nur für 6502 Opcodes
Term;Bootdiskette;boot disk;
Term;Bootkassette;boot tape;
Term;Buchsenleisten;female connector;
Term;Cartridge-Emulation;cartridge emulation;
Term;COM-Header;COM header;
Term;Direct-I/O-Modus;direct I/O mode;
Term;Display-List;display list;
Term;erden;to ground;
Term;festem Druck;firm pressure;
Term;Flash-Programm;flash program;
Term;Flash-ROM;flash ROM;
Term;Freezer-Elektronik;freezer elektronic;
Term;Freezer-Hauptmenü;freezer main menu;
Term;Freezer-RAM;freezer RAM;
Term;Freezer-Software;freezer software;
Term;Freezer-Softwareversion;freezer software version;
Term;geerdet;grounded;
Term;Gewaltanwendung;use of force;
Term;Hardwareregister;hardware register;
Term;Highspeed SIO-Routine;high speed SIO routine;
Term;interne Adresszähler;internal address counter;
Term;internen Atari Bildschirmcode;internal Atari screen code;
Term;Knopf \fsw{Freeze};\fsw{Freeze} button;
Term;Kommando;command;"Nicht ""Befehl"""
Term;Kommandoübersicht;command summary;
Term;Menü der Cartridge-Emulation;cartridge emulation menu;
Term;neu/wieder auflegen;to remake;
Term;Oldrunner;Oldrunner;
Term;OS-ROM;OS ROM;
Term;OS-Vektoren;OS vectors;
Term;OS-Version;OS version;
Term;PIA-Register;PIA register;
Term;RAM-Bank;RAM bank;
Term;RAM-Erweiterung;RAM extension;
Term;ROM-Bank;ROM bank;
Term;Schalter \fsw{FlashWrite};\fsw{FlashWrite} switch;
Term;Schattenregister;shadow register;
Term;Shadow-RAM;shadow RAM;
Term;SpartaDOS~X;SpartaDOS~X;
Term;Speicherbelegungsübersicht;memory usage map;
Term;Speichererweiterung;RAM extensions;
Term;Stereo-POKEY-Modus;stereo POKEY mode;
Term;Stiftleiste;multi-pin connector;
Term;Stromversorgung;power supply;
Term;Systemdiskette;system disk;
Term;versehentlich;accidentally ;
Term;Wildcards;wildcard;
