Title,Comments,Date,Publisher,CRC-32,Size,Mapping,MESS ID,Link
1090XL 64KMR Test rev. 1.0,,,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
1200 PITS rev 1.2,"Referenced in Checksum Verifier (1200 PITS REV 1.2, checksum $237A).",,,,,,,
1200 PITS rev 1.3,"Referenced in Checksum Verifier (1200 PITS R 1.3, checksum $1611).",,Atari,,,,,
1200 SALT Preliminary rev. 2.99,,1982,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
1200 Super SALT rev. A.02,"Referenced in Checksum Verifier (1200 SALT REV A.02, checksum $EA1A).",1983,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
1400 Burn In D.R1,,,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
1400 Burn In D.XX,"Referenced in Checksum Verifier (1400 SUPER SALT B/I REV D, checksum $45BC).",,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
1400 Super SALT rev. C.01,"Referenced in Checksum Verifier (1400 SUPER SALT C.01, checksum $263E).",1983,Atari,,,,,
1400 Super SALT rev. C.01,[a] Might be a bad dump – Checksum Verifier does not verify it correctly.,1983,Atari,10cb0520,16KB,Standard,1400salt,http://www.atarimuseum.com/computers/8BITS/XL/1400xl/1400.html
1400 Telecommunicator,Prototype.,1983-08-29,Atari,c63d9e1c,16KB,Standard,1400tele,http://www.atarimuseum.com/computers/8BITS/XL/1400xl/1400.html
3-D Tic-Tac-Toe,[!],1979,Atari,031d973b,4KB,Standard,,
3-D Tic-Tac-Toe,[m 031d973b][o $FFs in first 4KB],1979,Atari,4660c404,8KB,Standard,3dtictac,"http://www.atarimania.com/game-atari-400-800-xl-xe-3-d-tic-tac-toe_10.html
http://www.atarimania.com/atari_forum/viewtopic.php?f=2&t=2304#p15819
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571"
3-D Tic-Tac-Toe,[m 031d973b][o First 4KB zeroed by k1w1],1979,Atari,1cf50ebe,8KB,Standard,,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2240191
400/800 SALT Diagnostic Cartridge 1.00,At $B000-$B00F contains a signature: R01.00-101579-02,1979-10-15,Atari,be0cf388,4KB,Standard,,
400/800 SALT Diagnostic Cartridge 1.00,[m be0cf388][o Garbage in first 4KB],1979-10-15,Atari,1bd00850,8KB,Standard,salt100,http://atariage.com/forums/topic/194736-super-salt-diagnostic-carts/?p=2475694
400/800 SALT Diagnostic Cartridge 1.00,[m be0cf388][o First 4KB zeroed by k1w1],1979-10-15,Atari,a1e46a0d,8KB,Standard,,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2240191
400/800 SALT Diagnostic Cartridge 2.04,"At $A000-$A00F contains a signature: R02.04-090981-00. Recognized by Checksum Verifier (SALT 2.04, checksum 16AE).",1981-09-09,Atari,3e304b52,8KB,Standard,salt204,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2349473
400/800 SALT Diagnostic Cartridge 2.04,[m 3e304b52] 4 bytes at $0BC2-$0BC5 replaced with 00 66 03 04. Probably a bad dump – the change creates a snippet of illegal 6502 instructions in a portion of previously correct code.,1981-09-09,Atari,6c40248f,8KB,Standard,,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2240191
400/800 SALT Diagnostic Cartridge 2.05,"At $A000-$A00F contains a signature: R02.05-020382-00. Recognized by Checksum Verifier (SALT 2.05, checksum $5761).",1982-02-03,Atari,f269cc0a,8KB,Standard,salt205,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2476148
400/800 SALT Diagnostic Cartridge 2.05,[m f269cc0a] 4 bytes at $0BC2-$0BC5 replaced with 00 66 03 04. Probably a bad dump – the change creates a snippet of illegal 6502 instructions in a portion of previously correct code.,1982-02-03,Atari,f4d1b192,8KB,Standard,,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2240191
400/800 SALT Diagnostic cartridge 2.07,,1982,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
400/800 SALT Diagnostic cartridge 2.07F Peritel,"Referenced in Checksum Verifier (PERITEL SALT R 2.07F, checksum $F5FF).",1982,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
400/800 SALT Diagnostic cartridge 3.01,"Referenced in Checksum Verifier (SALT 3.01, checksum $7675).",,Atari,,,,,
400/800 SALT Diagnostic cartridge 3.03,,1983,Atari,,,,,"http://www.atarimax.com/jindroush.atari.org/acdpda.html
http://atariage.com/forums/topic/194736-super-salt-diagnostic-carts/?p=2593489
http://www.digitpress.com/forum/showthread.php?170541-Atari-400-800-Super-Salt-Version-3-03-33-pictures"
600/800 Super SALT (SE.02),"Recognizes only XL OS BB000000 rev. 1 and BB000001 rev. 2 (reports them as “REVA” and “REVB”, respectively); additionally reports an error (amber background) when run with rev. 1 OS and 64KB RAM.",1983,Atari,dc1e9fd4,16KB,Standard,saltse02,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2349473
600/800XL SALT (3.04),,1983,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
600XL Super SALT S.00,,1983,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
800XL Burn-In U.01,,,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
800XL Prat UP.01,,,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
810 Diagnostic rev. 0.2,"Referenced in Checksum Verifier (DISC DIAG REV 0.2, checksum $4A4C).",1982-11-09,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
810 Disk Board Compatibility Test R00.00,"Referenced in Checksum Verifier (810 DISC COMP TEST R0.00, checksum $5548).",1981,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
810 Disk Burn-In Test rev. E,"Referenced in Checksum Verifier (DISC BURN-IN V. E, checksum $54DB).",,Atari,,,,,
810 Disk Burn-In Test rev. F,"Referenced in Checksum Verifier (DISC BURN-IN V. F, checksum $29D6).",,Atari,,,,,
810 Disk Drive Check-out rev. 1.2,,1983-12-20,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
810 Disk Field Excerciser rev. 0,"Label says “810 Diagnostic Cartridge FD100006”. Recognized by Checksum Verifier (810 DIAG FD100006, checksum $D9C9).",1982,Atari,f3627929,4KB,Standard,810diag,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2476148
810 Disk Field Excerciser rev. 0,[m f3627929][o $FFs in first 4KB],1982,Atari,b61f2a16,8KB,Standard,,http://www.atarimania.com/utility-atari-400-800-xl-xe-810-diagnostic-cartridge_16408.html
810 Disk Manufacturing Tests rev. 0,"Referenced in Checksum Verifier (DISC MFG TESTS, checksum $E3DB).",1982-07,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
810 Disk Manufacturing Test E00.13,Label says “Disk Mfg Test V0.13”.,1979,Atari,,,,,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2852812
810/815 Burn-In Disk Test rev. E,"Referenced in Checksum Verifier (810/815 B/I REV E, checksum $E7B2).",1981-12-23,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
850 Interface Test rev. 1.0,"Referenced in Checksum Verifier (850 SALT REV 1.0, checksum $2074).",,Atari,,,,,http://www.atarimax.com/jindroush.atari.org/acdpda.html
ABOS,"Real name unknown. Cartridge with Arabic handlers for screen, printer  and editor. Apparently a precursor to the later Atrabic 65XE OS. At $19A1 contains string “ABOS  (C) ADVANCO 1984”.",1984,Advanco,c2b3cefe,16KB,Standard,,http://atariage.com/forums/topic/230100-could-be-the-oldest-arabic-os-najm/?p=3081250
Abracadabra!,[!],1983,TG Software,a35c775d,16KB,Standard,abracada,"http://www.atarimania.com/game-atari-400-800-xl-xe-abracadabra_57.html
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571"
Ace of Aces,[!],1988,Atari,ebad3ddb,128KB,XEGS,ace,"http://www.atarimania.com/atari_forum/viewtopic.php?f=2&t=2304#p15819
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571
http://www.atarimania.com/game-atari-400-800-xl-xe-ace-of-aces_63.html [CART]"
ACE-80 1.1,Comments in source code contain the March 1985 date. 800 only.,1985-03,ACE,5190f1d8,4KB,ElectroSmith Right,,http://atariage.com/forums/topic/99666-ace80-xl/?p=1496090
ACE-80XL 1.1,Comments in source code contain the March 1985 date.,1985-03,ACE,0001ca94,4KB,ElectroSmith,,http://atariage.com/forums/topic/99666-ace80-xl/?p=1496090
ACE-80XL 1.1,[m 0001ca94][o] Modified to run from an OSS one-chip cartridge board. First 4KB identical; starting from $1000 contains first 12 KB of a MAC/65 1.00 M091 image.,1985,ACE,4d148a37,16KB,OSS M091,ace80xl,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2240191
Action! 3.4,,,OSS,,,,,http://www.atarimax.com/jindroush.atari.org/acdpna.html
Action! 3.5,"Byte at $B000 contains version number, the following 3 bytes are release date.",1983-10-15,OSS,ae298a33,16KB,OSS 043M,action35,http://ftp.pigwa.net/stuff/collections/nir_dary_cds/ROMS/ROMS_CAR/ACTION.OSS/ACTION.OSS
Action! 3.6,"[!] Byte at $B000 contains version number, the following 3 bytes are release date.",1984-01-17,OSS,a1f90dfd,16KB,OSS M091,action36,"http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2349895"
Action! 3.6,"[m a1f90dfd][b] This is a Type B M091 cartridge dumped using the wrong 034M mapping – in effect it misses one bank and it hangs up, eg. when trying to COMPILE.",1984-01-17,OSS,b2611fd3,16KB,-,,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2251846
Action! 3.6,"[m a1f90dfd][b] This is a Type B M091 cartridge dumped using the wrong 043M mapping – in effect it misses one bank and it hangs up, eg. when trying to COMPILE. ",1984-01-17,OSS,549eb409,16KB,-,,http://ftp.pigwa.net/stuff/collections/nir_dary_cds/ROMS/ROMS_CAR/ACTION.OSS/ACTION2.OSS
Action! 3.6,[m a1f90dfd][h] Displayed date changed and credits removed.,1986,,0a27763c,16KB,OSS M091,,"http://www.jsobola.republika.pl/schematy.htm
http://www.jsobola.republika.pl/atariepr/usaction.zip"
Action! 3.6,[m a1f90dfd][h] Differs in only one byte at $B000 – returns $02.,1984-01-17,OSS,0bcd70c6,16KB,OSS M091,,"http://ftp.pigwa.net/stuff/collections/nir_dary_cds/ROMS/ROMS_CAR/ACTION.OSS/ACT1183.OSS
http://atariage.com/forums/topic/185505-action-for-emulator/?p=2335708 [CART]"
Action! 3.6,"[m 0bcd70c6][h] Hacked to support H: drive letter, for emulators.",2009-07-29,František Houra,e9113178,16KB,OSS M091,,"http://atariage.com/forums/topic/146876-action-hack-to-default-drive-h-question/?p=1803845 [CART bad checksum]
http://atariage.com/forums/topic/146876-action-hack-to-default-drive-h-question/?p=1804539 [CART]"
Action! 3.6,"[m a1f90dfd] Modified by OSS to work on their earlier two-chip cartridge board (034M mapping, see Notes). Differs only in the bank numbering area.",1984-01-17,OSS,eb905cb4,16KB,OSS 034M,action36a,"http://atariage.com/forums/topic/185505-action-for-emulator/?p=2336083
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2595798"
Action! 3.6,[m eb905cb4] Byte at $052F changed from $E5 to $FF.,1984-01-17,OSS,532469b9,16KB,OSS 034M,,http://atariage.com/forums/topic/130910-latest-additions-to-atarimania-database/?p=1864615 [CART]
Activator Cartridge,"When hotswapped to a Bounty Bob Strikes Back! Cartridge, it enables the game's “61800” cheat mode. Made to allow reviewers access to the cheat mode without giving it out.",1984,Big Five Software,c5a1bdf1,8KB,Standard,,"http://atariage.com/forums/topic/198222-big-five-activator-cart/?p=2538923
http://atariage.com/forums/topic/198222-big-five-activator-cart/?p=2865197"
Activision Decathlon [The],[!],1984,Activision,affbe54b,16KB,Standard,decathln,"http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2497366"
Activision Decathlon [The],[m affbe54b][cr],1984,Activision,76845603,16KB,Standard,,http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2240191
Adventure Creator,[!],1984,Spinnaker,8746d9da,16KB,Standard,advcrtor,"http://www.atarimania.com/game-atari-400-800-xl-xe-adventure-creator_113.html
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571"
Airball,,1988,Atari,a0ccb3c1,128KB,XEGS,airball,"http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571
http://www.atarimania.com/game-atari-400-800-xl-xe-airball_151.html [CART]"
Alf in the Color Caves,[!],1984,Spinnaker,79df7f9d,16KB,Standard,alfclrcv,"http://www.atarimania.com/game-atari-400-800-xl-xe-alf-in-the-color-caves_167.html
http://atariage.com/forums/topic/161828-hooked-on-8-bit-carts/?p=2706571"
Alien Ambush,[!],1983,DANA,e8069034,4KB,Standard,,
